0;0;W
0;1;W
0;2;W
0;3;W
0;4;W
0;5;W
0;6;W
0;7;W
0;8;W
0;9;W
0;10;W
0;11;W
0;12;W
0;13;W
0;14;W
1;0;W
1;1;0
1;2;0
1;3;0
1;4;0
1;5;0
1;6;0
1;7;0
1;8;0
1;9;0
1;10;0
1;11;0
1;12;0
1;13;0
1;14;W
2;0;W
2;1;0
2;2;W
2;3;0
2;4;W
2;5;0
2;6;W
2;7;0
2;8;W
2;9;0
2;10;W
2;11;0
2;12;W
2;13;0
2;14;W
3;0;W
3;1;0
3;2;0
3;3;0
3;4;0
3;5;0
3;6;0
3;7;0
3;8;0
3;9;0
3;10;0
3;11;0
3;12;0
3;13;0
3;14;W
4;0;W
4;1;0
4;2;W
4;3;0
4;4;W
4;5;0
4;6;W
4;7;0
4;8;W
4;9;0
4;10;W
4;11;0
4;12;W
4;13;0
4;14;W
5;0;W
5;1;0
5;2;0
5;3;0
5;4;0
5;5;0
5;6;0
5;7;0
5;8;0
5;9;0
5;10;0
5;11;0
5;12;0
5;13;0
5;14;W
6;0;W
6;1;0
6;2;W
6;3;0
6;4;W
6;5;0
6;6;W
6;7;0
6;8;W
6;9;0
6;10;W
6;11;0
6;12;W
6;13;0
6;14;W
7;0;W
7;1;0
7;2;0
7;3;0
7;4;0
7;5;0
7;6;0
7;7;0
7;8;0
7;9;0
7;10;0
7;11;0
7;12;0
7;13;0
7;14;W
8;0;W
8;1;0
8;2;W
8;3;0
8;4;W
8;5;0
8;6;W
8;7;0
8;8;W
8;9;0
8;10;W
8;11;0
8;12;W
8;13;0
8;14;W
9;0;W
9;1;0
9;2;0
9;3;0
9;4;0
9;5;0
9;6;0
9;7;0
9;8;0
9;9;0
9;10;0
9;11;0
9;12;0
9;13;0
9;14;W
10;0;W
10;1;0
10;2;W
10;3;0
10;4;W
10;5;0
10;6;W
10;7;0
10;8;W
10;9;0
10;10;W
10;11;0
10;12;W
10;13;0
10;14;W
11;0;W
11;1;0
11;2;0
11;3;0
11;4;0
11;5;0
11;6;0
11;7;0
11;8;0
11;9;0
11;10;0
11;11;0
11;12;0
11;13;0
11;14;W
12;0;W
12;1;0
12;2;W
12;3;0
12;4;W
12;5;0
12;6;W
12;7;0
12;8;W
12;9;0
12;10;W
12;11;0
12;12;W
12;13;0
12;14;W
13;0;W
13;1;0
13;2;0
13;3;0
13;4;0
13;5;0
13;6;0
13;7;0
13;8;0
13;9;0
13;10;0
13;11;0
13;12;0
13;13;0
13;14;W
14;0;W
14;1;W
14;2;W
14;3;W
14;4;W
14;5;W
14;6;W
14;7;W
14;8;W
14;9;W
14;10;W
14;11;W
14;12;W
14;13;W
14;14;W
